table_name,history_table,RBI,RAI,RBU,RAU,RBD,RAD,SBI,SAI,SBU,SAU,SBD,SAD,colum_list
tbc_allocation,tbc_allocation_history,N,Y,N,Y,Y,N,N,N,N,N,N,N,allocation_id|active_flag|modified_by|modified_dttm|version_no|due_date|entity_id|entity_type|group_cd|status|user_cd|work_type_cd
tbc_content,tbc_content_history,N,Y,N,Y,Y,N,N,N,N,N,N,N,content_id|active_flag|modified_by|modified_dttm|version_no|content|content_cd|content_type|effective_end_dttm|effective_start_dttm|submitted_content
tbc_discussion_comment,tbc_discussion_comment_history,N,Y,N,Y,Y,N,N,N,N,N,N,N,comment_id|active_flag|modified_by|modified_dttm|version_no|author_txt|comment_desc_txt|created_dttm|parent_comment_id|reply_to|topic_id|vote
tbc_discussion_topic,tbc_discussion_topic_history,N,Y,N,Y,Y,N,N,N,N,N,N,N,topic_id|active_flag|modified_by|modified_dttm|version_no|author_txt|created_dttm|topic_category|topic_description_txt|topic_title_txt|viewed
tbc_document,tbc_document_history,N,Y,N,Y,Y,N,N,N,N,N,N,N,doc_id|author_txt|context_id|context_type|modified_dttm|doc_title_txt|doc_type_txt|modified_by|version_no
tbc_document_version,tbc_document_version_history,N,Y,N,Y,Y,N,N,N,N,N,N,N,version_id|author_txt|comments_txt|modified_dttm|doc_id|modified_by|version_no
tbc_group_mst,tbc_group_mst_history,N,Y,N,Y,Y,N,N,N,N,N,N,N,group_cd|active_flag|modified_by|modified_dttm|version_no|comment_txt|group_desc_txt
tbc_group_user_mst,tbc_group_user_mst_history,N,Y,N,Y,Y,N,N,N,N,N,N,N,group_user_mst_id|active_flag|modified_by|modified_dttm|version_no|group_cd|user_cd
tbc_login_activity,tbc_login_activity_history,N,Y,N,Y,Y,N,N,N,N,N,N,N,user_session_id|user_cd|incoming_ip|start_time|end_time|modified_by|modified_dttm|version_no
tbc_role_mst,tbc_role_mst_history,N,Y,N,Y,Y,N,N,N,N,N,N,N,role_cd|active_flag|comment_txt|role_desc_txt|modified_by|modified_dttm|version_no
tbc_sampling_strategy,tbc_sampling_strategy_history,N,Y,N,Y,Y,N,N,N,N,N,N,N,strategy_id|active_flag|modified_by|modified_dttm|version_no|close_to_pct|confidence_level|fields|interval_size|sample_size_pct|strategy_name|strategy_type|variance_degree|work_type_cd
tbc_skill,tbc_skill_history,N,Y,N,Y,Y,N,N,N,N,N,N,N,skill_id|active_flag|modified_by|modified_dttm|version_no|capacity|user_cd|work_type_cd|priority|role_cd
tbc_task,tbc_task_history,N,Y,N,Y,Y,N,N,N,N,N,N,N,task_id|category|context_id|context_type|modified_dttm|created_by|task_desc_txt|due_dttm|modified_by|owner_cd|reassign_text|resolution|status_txt|task_title_txt|task_type_txt|version_no|parent_task_id
tbc_task_note,tbc_task_note_history,N,Y,N,Y,Y,N,N,N,N,N,N,N,note_id|author_txt|context_id|context_type|modified_by|modified_dttm|notes_txt|version_no
tbc_user_calendar,tbc_user_calendar_history,N,Y,N,Y,Y,N,N,N,N,N,N,N,calendar_id|active_flag|modified_by|modified_dttm|version_no|available_no|calendar_date|user_cd
tbc_user_credential,tbc_user_credential_history,N,Y,N,Y,Y,N,N,N,N,N,N,N,logon_cd|consecutive_failures|modified_by|modified_dttm|password_txt|version_no
tbc_user_mst,tbc_user_mst_history,N,Y,N,Y,Y,N,N,N,N,N,N,N,user_cd|active_flag|modified_by|modified_dttm|version_no|address_txt|custom_txt_1|custom_txt_2|custom_txt_3|custom_txt_4|custom_txt_5|auth_type|email_addr_txt|first_name_txt|last_name_txt|logon_cd|middle_name_txt|mobile_no_txt|profile_image|supervisor_cd|max_sessions
tbc_user_role_mst,tbc_user_role_mst_history,N,Y,N,Y,Y,N,N,N,N,N,N,N,user_role_mst_id|active_flag|modified_by|modified_dttm|version_no|role_cd|user_cd
tbc_work_assignment,tbc_work_assignment_history,N,Y,N,Y,Y,N,N,N,N,N,N,N,assignment_id|assigned_dttm|completed_dttm|entity_id|modified_by|modified_dttm|status_txt|user_cd|version_no|work_mgr_cd
tbc_work_type,tbc_work_type_history,N,Y,N,Y,Y,N,N,N,N,N,N,N,work_type_cd|active_flag|modified_by|modified_dttm|version_no|work_size|work_type_name
tbm_alias,tbm_alias_history,N,Y,N,Y,Y,N,N,N,N,N,N,N,alias_id|alias_type_code|alias_code|description|flag1|flag2|active_flag|modified_by|modified_dttm|version_no
tbm_alias_type,tbm_alias_type_history,N,Y,N,Y,Y,N,N,N,N,N,N,N,alias_type_code|description|active_flag|modified_by|modified_dttm|version_no
tbm_apn_expansionlist,tbm_apn_expansionlist_history,N,Y,N,Y,Y,N,N,N,N,N,N,N,expansion_list_id|code|pattern|length|active_flag|modified_by|modified_dttm|version_no
tbm_apn_format,tbm_apn_format_history,N,Y,N,Y,Y,N,N,N,N,N,N,N,apn_id|fips_code|input_format|special_char_input_format|apn_research_county_flag|special_char_input_flag|keywords_input_flag|default_output_format1|default_output_format2|default_output_format3|default_output_format4|default_output_format5|default_output_format6|default_output_format7|default_output_format8|default_output_format9|default_output_format10|output_format1|output_format2|output_format3|output_format4|output_format5|output_format6|output_format7|output_format8|output_format9|output_format10|output_format1_alignment|output_format2_alignment|output_format3_alignment|output_format4_alignment|output_format5_alignment|output_format6_alignment|output_format7_alignment|output_format8_alignment|output_format9_alignment|output_format10_alignment|active_flag|modified_by|modified_dttm|version_no
tbm_apn_research,tbm_apn_research_history,N,Y,N,Y,Y,N,N,N,N,N,N,N,apn_research_id|fips_code|muncipality_code|pcl_id|pcl_id_type|range_code_type|township_code|section_code|qtr_section_code|muncipality_name|block_id|block_suffix_code|lot_id|lot_suffix|tract_number|sub_tract_number|county_legal_txt|land_dim_acres_total|land_dim_sqft_total|gend_sub_key|sd_sub_condo_number|plat_book|plat_page|owner_name_1|owner_name_2|owner_address_prefix_1|owner_hse_address_number_1|owner_address_suffix_1|owner_address_prefix_2|owner_hse_address_number_2|owner_address_suffix_2|owner_address_direction_code|owner_address_street_name|owner_address_mode_code|owner_address_quadrant_code|owner_address_apt_code|owner_address_std_city|owner_address_std_state|owner_address_std_zip5|owner_address_std_zip4|situs_pcl_sitetyp_indicator|situs_preffix_code_1|situs_addresss_hse_number_1|situs_addr_suffix_code_1|situs_preffix_code_2|situs_addresss_hse_number_2|situs_addr_suffix_code_2|situs_address_direction_code|situs_address_street_name|situs_address_mode_code|situs_address_quadrant_code|situs_address_apt_code|situs_address_std_city|situs_address_std_state|situs_address_std_zip5|situs_address_std_zip4|other_match_info|account_number|owner_first_name_1|owner_last_name_1|owner_mid_initial_1|owner_suffix_1|owner_first_name_2|owner_last_name_2|owner_mid_initial_2|owner_suffix_2|owner_first_name_3|owner_last_name_3|owner_mid_initial_3|owner_suffix_3|owner_first_name_4|owner_last_name_4|owner_mid_initial_4|owner_suffix_4|trans_situs_std_code|trans_plat_map_book|trans_plat_map_page|trans_gend_sub_key|trans_sd_sub_condo_number|active_flag|modified_by|modified_dttm|version_no
tbm_apn_state_sequence,tbm_apn_state_sequence_history,N,Y,N,Y,Y,N,N,N,N,N,N,N,sequence_id|state_code|pattern|active_flag|modified_by|modified_dttm|version_no
tbm_attorney,tbm_attorney_history,N,Y,N,Y,Y,N,N,N,N,N,N,N,attorney_code|attorney_name|misc_code|active_flag|modified_by|modified_dttm|version_no
tbm_city,tbm_city_history,N,Y,N,Y,Y,N,N,N,N,N,N,N,city_id|city_name|state_code|active_flag|modified_by|modified_dttm|version_no
tbm_country,tbm_country_history,N,Y,N,Y,Y,N,N,N,N,N,N,N,country_id|country_code|country_name|active_flag|modified_by|modified_dttm|version_no
tbm_county,tbm_county_history,N,Y,N,Y,Y,N,N,N,N,N,N,N,fips_code|state_code|county_code|county_name|remi_code|active_flag|modified_by|modified_dttm|version_no
tbm_credit_line,tbm_credit_line_history,N,Y,N,Y,Y,N,N,N,N,N,N,N,credit_line_id|credit_code|description|priority|active_flag|modified_by|modified_dttm|version_no
tbm_district_codes,tbm_district_codes_history,N,Y,N,Y,Y,N,N,N,N,N,N,N,district_id|fips_code|district_code|active_flag|modified_by|modified_dttm|version_no
tbm_document_number_rule,tbm_document_no_rule_history,N,Y,N,Y,Y,N,N,N,N,N,N,N,doc_number_rule_id|fips_code|doc_number_length|doc_number_output_legth|doc_year_part_count|doc_supress_year_part|doc_supress_leading_zero|doc_can_have_special|doc_can_have_alpha|active_flag|modified_by|modified_dttm|version_no
tbm_document_type,tbm_document_type_history,N,Y,N,Y,Y,N,N,N,N,N,N,N,document_type_cd|sub_document_type_name|deed_category_code|damar_code|document_type_name|output_format_code|field_configuration_ref|active_flag|modified_by|modified_dttm|version_no|document_type_id|deed_category_code|document_type_name|output_format_code|active_flag|modified_by|modified_dttm|version_no
tbm_lender,tbm_lender_history,N,Y,N,Y,Y,N,N,N,N,N,N,N,lender_code|lender_name|misc_code|misc_flag|active_flag|modified_by|modified_dttm|version_no
tbm_location,tbm_location_history,N,Y,N,Y,Y,N,N,N,N,N,N,N,location_code|description|active_flag|modified_by|modified_dttm|version_no
tbm_pagebook_number_rule,tbm_pagebook_no_rule_history,N,Y,N,Y,Y,N,N,N,N,N,N,N,pagebook_number_rule_id|fips_code|book_supress_leading_zero|book_can_have_special|book_can_have_alpha|page_supress_leading_zero|page_supress_end_page|page_can_have_special|page_can_have_alpha|active_flag|modified_by|modified_dttm|version_no
tbm_postcode,tbm_postcode_history,N,Y,N,Y,Y,N,N,N,N,N,N,N,postcode_id|city_id|post_code|latitude|Longitude|active_flag|modified_by|modified_dttm|version_no
tbm_state,tbm_state_history,N,Y,N,Y,Y,N,N,N,N,N,N,N,state_code|state_name|active_flag|modified_by|modified_dttm|version_no
tbm_sub_document_type_new,tbm_sub_document_type_history,N,Y,N,Y,Y,N,N,N,N,N,N,N,bid|damar_code|document_type_id|sub_document_type_name|active_flag|modified_by|modified_dttm|version_no
tbm_tax_rate,tbm_tax_rate_history,N,Y,N,Y,Y,N,N,N,N,N,N,N,tax_rate_id|fips_code|min_amount|min_tax_stamp_amount|active_flag|modified_by|modified_dttm|version_no
tbm_title_company,tbm_title_company_history,N,Y,N,Y,Y,N,N,N,N,N,N,N,title_company_code|title_company_name|misc_code|active_flag|modified_by|modified_dttm|version_no
tbm_title_company_shortforms,tbm_title_company_sf_history,N,Y,N,Y,Y,N,N,N,N,N,N,N,short_form_id|short_form|fips_code|title_company_code|active_flag|modified_by|modified_dttm|version_no
tbm_worktype_county,tbm_worktype_county_history,N,Y,N,Y,Y,N,N,N,N,N,N,N,worktype_county_pk_id|work_type_cd|fips_code|active_flag|modified_by|modified_dttm|version_no
tbm_worktype_subdoctype,tbm_worktype_subdoctyp_history,N,Y,N,Y,Y,N,N,N,N,N,N,N,worktype_subdoc_id|work_type_cd|bid|active_flag|modified_by|modified_dttm|version_no
tbt_document,tbt_document_history,N,Y,N,Y,Y,N,N,N,N,N,N,N,doc_id|mongo_doc_id|document_type_cd|fips_code|sla_ts|status|assigned_to|created_dttm|created_by|doc_version_no|modified_dttm|active_flag|modified_by|version_no